Ay;Dolar;Euro;Altın;Petrol;Beton;Demir;Fiyat;Son Güncelleme Tarihi;Konut Tipi;Mahalle; Net M2;Oda ; Salon Sayısı;Bulunduğu Kat;Bina Yaşı;Isınma Tipi;Eşya Durumu;Banyo Sayısı;Cephe;Kira Getirisi;Kullanım Durumu;Aidat;Yakıt Tipi
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;2.150.000 TL;27 11 2023;Daire;Cumhuriyet;70;2;1;3. Kat;9 Yaşında;Kombi;Eşyalı Değil;1;Kuzey, Güney;;Mülk Sahibi;100 TL;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;3.300.000 TL;16 11 2023;Daire;Meşrutiyet;130;3;1;7. Kat;5 Yaşında;Kombi;Eşyalı Değil;1;Kuzey, Güney;;Kiracılı;150 TL;
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;2.850.000 TL;23 12 2023;Daire;Zafer;135;3;1;3. Kat;20 Yaşında;Kombi;Eşyalı Değil;1;Kuzey, Güney;;Boş;;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;2.480.000 TL;5 10 2023;Daire;Kemer;85;2;1;2. Kat;Sıfır Bina;Kombi;Eşyalı Değil;1;Kuzey, Batı;10.000 TL;Boş;150 TL;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;2.599.000 TL;11 10 2023;Daire;Efeler;120;3;1;3. Kat;22 Yaşında;Kombi;Eşyalı Değil;1;Kuzey, Güney;12.000 TL;Mülk Sahibi;150 TL;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.975.000 TL;6 12 2023;Daire;Orta;75;2;1;Ara Kat;4 Yaşında;Kombi;Eşyalı Değil;1;Doğu, Batı;10.000 TL;Kiracılı;100 TL;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.800.000 TL;25 11 2023;Daire;Meşrutiyet;110;3;1;4. Kat;22 Yaşında;Kombi;Eşyalı Değil;1;Kuzey, Güney;;Mülk Sahibi;;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;2.950.000 TL;15 12 2023;Daire;Adnan Menderes;170;3;1;4. Kat;12 Yaşında;Kombi;Eşyalı Değil;1;;13.000 TL;Boş;150 TL;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;2.100.000 TL;22 10 2023;Daire;Kurtuluş;150;3;1;7. Kat;40 Yaşında;Kombi;Eşyalı Değil;1;Kuzey, Güney, Doğu, Batı;15.000 TL;Belirtilmemiş;100 TL;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;2.330.000 TL;24 11 2023;Daire;Kurtuluş;110;3;1;Kot 1;25 Yaşında;Doğalgaz Sobası;Eşyalı Değil;1;;10.000 TL;Mülk Sahibi;;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;2.800.000 TL;25 12 2023;Daire;Meşrutiyet;130;3;1;3. Kat;7 Yaşında;Kombi;Eşyalı;1;;;Boş;;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;2.750.000 TL;12 10 2023;Daire;Mesudiye;100;2;1;2. Kat;Sıfır Bina;Kombi;Eşyalı Değil;2;Batı;;Boş;;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.850.000 TL;16 12 2023;Daire;Adnan Menderes;150;3;1;Ara Kat;24 Yaşında;Kombi;Eşyalı Değil;1;Doğu, Batı;3.500 TL;Kiracılı;;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.550.000 TL;30 11 2023;Daire;Efeler;45;1;1;1. Kat;Sıfır Bina;Kombi;Eşyalı Değil;1;Doğu, Batı;10.000 TL;Boş;200 TL;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.300.000 TL;18 12 2023;Daire;Hasanefendi - Ramazan Paşa;100;2;1;1. Kat;30 Yaşında;Isıtma Yok;Eşyalı Değil;1;Doğu, Batı;;Boş;;Kömür-Odun
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;4.200.000 TL;31 10 2023;Daire;Girne;155;3;1;5. Kat;12 Yaşında;Kombi;Eşyalı Değil;2;Kuzey, Güney, Doğu;;Kiracılı;;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;3.250.000 TL;18 12 2023;Müstakil Ev;Baltaköy;575;2;1;5. Kat;30 Yaşında;Soba;Eşyalı Değil;1;Kuzey, Güney, Doğu, Batı;;Boş;;Kömür-Odun
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;2.450.000 TL;10 10 2023;Daire;Girne;110;2;1;2. Kat;17 Yaşında;Kombi;Eşyalı Değil;1;Kuzey, Doğu;5.000 TL;Kiracılı;40 TL;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;2.600.000 TL;18 12 2023;Daire;Efeler;85;2;1;3. Kat;Sıfır Bina;Kombi;Eşyalı Değil;1;Doğu, Batı;10.000 TL;Boş;150 TL;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.100.000 TL;9 10 2023;Daire;Zafer;80;2;1;1. Kat;30 Yaşında;Klima;Eşyalı;1;Güney;2.500 TL;Boş;;Elektrik
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;2.000.000 TL;8 11 2023;Daire;Orta;68;2;1;2. Kat;7 Yaşında;Kombi;Eşyalı;1;Kuzey, Güney;;;;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;2.500.000 TL;6 11 2023;Daire;Cumhuriyet;125;3;1;2. Kat;22 Yaşında;Kombi;Eşyalı Değil;1;;;Kiracılı;;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;2.100.000 TL;19 12 2023;Daire;Ata;80;2;1;Ara Kat;Sıfır Bina;Kombi;Eşyalı Değil;1;Kuzey, Güney, Doğu;;Kiracılı;;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;2.750.000 TL;25 10 2023;Daire;Zafer;71;2;1;2. Kat;Sıfır Bina;Kombi;Eşyalı Değil;1;Güney;;;;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.490.000 TL;12 10 2023;Daire;Meşrutiyet;120;3;1;5. Kat;30 Yaşında;Isıtma Yok;Eşyalı Değil;1;;;;;
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;2.500.000 TL;18 11 2023;Daire;Efeler;80;2;1;3. Kat;3 Yaşında;Kombi;Eşyalı Değil;1;Güney, Doğu;;Kiracılı;;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;400.000 TL;23 11 2023;Köy Evi;Kuloğullar;80;2;1;3. Kat;45 Yaşında;Soba;Eşyalı Değil;1;Kuzey, Güney, Doğu, Batı;500 TL;;;Kömür-Odun
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.750.000 TL;16 10 2023;Daire;Kemer;125;3;1;3. Kat;18 Yaşında;Soba;Eşyalı Değil;1;Kuzey, Güney, Doğu;;Kiracılı;;Kömür-Odun
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;2.400.000 TL;15 12 2023;Daire;Kurtuluş;125;3;1;Ara Kat;30 Yaşında;Kombi;Eşyalı Değil;1;;15.000 TL;Boş;200 TL;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.150.000 TL;31 10 2023;Müstakil Ev;Umurlu;85;2;1;Ara Kat;20 Yaşında;Soba;Eşyalı Değil;1;;;Boş;;Kömür-Odun
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.470.000 TL;24 10 2023;Daire;Zafer;60;1;1;4. Kat;8 Yaşında;Klima;Eşyalı;1;Kuzey;;Kiracılı;;Elektrik
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.950.000 TL;22 12 2023;Müstakil Ev;Umurlu;80;2;1;Bahçe Katı;26 Yaşında;Soba;Eşyalı Değil;1;Kuzey, Güney, Doğu, Batı;;Boş;;
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.350.000 TL;11 12 2023;Daire;Mesudiye;90;2;1;1. Kat;28 Yaşında;Soba;Eşyalı Değil;1;Güney, Doğu;;Kiracılı;20 TL;Kömür-Odun
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;2.250.000 TL;18 10 2023;Daire;Ata;100;2;1;1. Kat;Sıfır Bina;Kombi;Eşyalı Değil;1;;;Boş;;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;3.500.000 TL;5 11 2023;Daire;Mimar Sinan;155;3;1;5. Kat;17 Yaşında;Kombi;Eşyalı Değil;1;Kuzey, Güney, Doğu;;Mülk Sahibi;;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.600.000 TL;17 10 2023;Daire;Zafer;50;2;1;4. Kat;8 Yaşında;Kombi;Eşyalı Değil;1;Güney, Doğu;;Boş;100 TL;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;2.500.000 TL;4 11 2023;Daire;Girne;120;3;1;3. Kat;29 Yaşında;Kombi;Eşyalı Değil;1;Kuzey, Batı;;Kiracılı;150 TL;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.100.000 TL;5 10 2023;Daire;Meşrutiyet;145;3;1;Yüksek Giriş;25 Yaşında;Soba;Eşyalı Değil;1;Kuzey, Batı;;Boş;;Kömür-Odun
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;860.000 TL;16 10 2023;Daire;Zafer;48;1;1;Kot 2;28 Yaşında;Merkezi;Eşyalı;1;Kuzey;5.000 TL;Boş;;
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.100.000 TL;28 11 2023;Daire;Zafer;45;1;1;1. Kat;8 Yaşında;Kombi;Eşyalı;1;Güney, Batı;;Kiracılı;;Kömür-Odun
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.111 TL;25 11 2023;Müstakil Ev;Dalama;125;2;1;1. Kat;50 Yaşında;Soba;Eşyalı Değil;1;;;Boş;;Kömür-Odun
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;2.000.000 TL;14 12 2023;Daire;Cumhuriyet;135;3;1;3. Kat;25 Yaşında;Kombi;Eşyalı Değil;1;;;Boş;20 TL;Doğalgaz
